Dose (Gy),Number of cells,Number of foci scored,Number of foci per cell (Yield),SE of Yield
0,50,30,0.6,0.1095445115
0.2,50,52,1.04,0.144222051
0.5,50,64,1.28,0.16
0.8,50,80,1.6,0.1788854382
1,50,111,2.22,0.2107130751
1.5,50,129,2.58,0.2271563338
2,50,240,4.8,0.3098386677
2.5,50,299,5.98,0.3458323293
3,50,350,7,0.3741657387
3.5,50,31,0.62,1.1095445115
4,50,53,1.06,1.144222051
4.5,50,65,1.3,1.16
5,50,81,1.62,1.1788854382
5.5,50,112,2.24,1.2107130751
6,50,130,2.6,1.2271563338
6.5,50,241,4.82,1.3098386677
7,50,300,6,1.3458323293
7.5,50,351,7.02,1.3741657387
8,50,32,0.64,2.1095445115
8.5,50,54,1.08,2.144222051
9,50,66,1.32,2.16
9.5,50,82,1.64,2.1788854382
10,50,113,2.26,2.2107130751
10.5,50,131,2.62,2.2271563338
11,50,242,4.84,2.3098386677
11.5,50,301,6.02,2.3458323293
12,50,352,7.04,2.3741657387
12.5,50,33,0.66,3.1095445115
13,50,55,1.1,3.144222051
13.5,50,67,1.34,3.16
14,50,83,1.66,3.1788854382
14.5,50,114,2.28,3.2107130751
15,50,132,2.64,3.2271563338
15.5,50,243,4.86,3.3098386677
16,50,302,6.04,3.3458323293
16.5,50,353,7.06,3.3741657387
17,50,34,0.68,4.1095445115
17.5,50,56,1.12,4.144222051
18,50,68,1.36,4.16
18.5,50,84,1.68,4.1788854382
19,50,115,2.3,4.2107130751
19.5,50,133,2.66,4.2271563338
20,50,244,4.88,4.3098386677
